export interface WebTrendKeyword {
  id: string;
  section: string;
  rank: number;
  keyword: string;
  interest: number;
  change: string;
}

export const webTrendKeywords: WebTrendKeyword[] = [
  { id: '1', section: '여행', rank: 1, keyword: '바이크 여행 갤', interest: 98, change: 'Breakout' },
  { id: '2', section: '여행', rank: 2, keyword: 'mimo 의 여행', interest: 96, change: 'Breakout' },
  { id: '3', section: '여행', rank: 3, keyword: '여기 어때', interest: 94, change: 'Breakout' },
  { id: '4', section: '여행', rank: 4, keyword: '소매물 도 여행', interest: 92, change: 'Breakout' },
  { id: '5', section: '여행', rank: 5, keyword: '리장 여행', interest: 90, change: 'Breakout' },
  { id: '6', section: '여행', rank: 6, keyword: '여행 갈때 준비물', interest: 88, change: 'Breakout' },
  { id: '7', section: '여행', rank: 7, keyword: '부킹 닷컴', interest: 86, change: 'Breakout' },
  { id: '8', section: '여행', rank: 8, keyword: '소 맥거핀 찰칵 세계 여행', interest: 84, change: '300%' },
  { id: '9', section: '여행', rank: 9, keyword: '여행 지리', interest: 82, change: '300%' },
  { id: '10', section: '여행', rank: 10, keyword: '하동 반값 여행', interest: 80, change: '160%' },
  { id: '11', section: '여행', rank: 11, keyword: '기타큐슈 여행', interest: 78, change: '160%' },
  { id: '12', section: '여행', rank: 12, keyword: '착한 강아지 의 여행', interest: 76, change: '150%' },
  { id: '13', section: '여행', rank: 13, keyword: '소녀 종말 여행', interest: 74, change: '150%' },
  { id: '14', section: '여행', rank: 14, keyword: '여행 과 나날', interest: 72, change: '120%' },
  { id: '15', section: '여행', rank: 15, keyword: '일본 여행 비자', interest: 70, change: '90%' },
  { id: '16', section: '여행', rank: 16, keyword: '말레이시아 여행', interest: 68, change: '90%' },
  { id: '17', section: '여행', rank: 17, keyword: '도야마 여행', interest: 66, change: '90%' },
  { id: '18', section: '여행', rank: 18, keyword: '볼빨간 사춘기 여행', interest: 64, change: '80%' },
  { id: '19', section: '여행', rank: 19, keyword: '이탈리아 여행', interest: 62, change: '70%' },
  { id: '20', section: '여행', rank: 20, keyword: '수학 여행 코디', interest: 60, change: '70%' },
  { id: '21', section: '여행', rank: 21, keyword: '버즈 나 에게 로 떠나는 여행', interest: 58, change: '70%' },
  { id: '22', section: '여행', rank: 22, keyword: '일본 패키지 여행', interest: 56, change: '70%' },
  { id: '23', section: '여행', rank: 23, keyword: '울릉도 여행', interest: 54, change: '70%' },
  { id: '24', section: '여행', rank: 24, keyword: '홋카이도 여행', interest: 52, change: '60%' },
